text,favoriteCount,retweetCount
"House and dance music playlist: https://t.co/sQaYf3Ipm3
#HappyFriday #Weekend #AJA3 #HouseMusic #HouseMusicLovers https://t.co/NX71O3SGyp",0,0
We made it to the weekend! What are your plans? Read a new book? Learn an instrument? Try a new recipe? Of course y https://t.co/dQSs83m3yV,0,0
Le abrimos la puerta al #weekend en el #sunsetdelmar junto a @edu_aravena  al aire y rodando La #frecuenciadelmar https://t.co/yPaaZYFt2u,0,0
"Sinds kort schrijf ik een blog over China/Chinees. Dit is alweer de derde ""Lessen uit Beijing"". Lees de volledige t https://t.co/cScQv57SH9",0,0
"Cheese, Sausage &amp; Pepperoni, Veg Pizzas with Garlic Knots and Mickey Pasta 
Location: Pizzafari, Animal Kingdom, Di https://t.co/yiMkETvdk4",1,1
Did you see this weeks video featuring our Camden Crew on our IGTV or Youtube channel?! This sweatshirt is perfect https://t.co/kc1ZXCQPKm,0,0
"Happy... Friday?  Heres to gettin all dressed up to stay in for the 3rd #weekend in a row! 

What are your https://t.co/wrlxhYEoxo",1,0
"Czy to jest dobry moment, eby zacz oglda Supernatural od pocztku? Tak. #Supernatural #Weekend https://t.co/GmP5YICzaV",3,0
"@MusicIsGenius This #weekend take ""Genie #Lamborghini"" by @SPYDERDARLING for a spin on #SoundCloud!
#rock #music https://t.co/rTNXZ30kSK",0,0
That Friday feeling! #happyfriday #funfriday #friday #fridayvibes #fridaymood #fridayfeeling #fridayfunday https://t.co/Ne3eLuoAdP,1,0
#tatuajecigars #stogietravels #luxury #swag #luxurylifestyle #travel #friday #weekend #cigar https://t.co/Orfrlq05am,0,0
This weekends read. Thanks for entering the contest @danjtrudeau. Happy #weekend #WritingCommunity What are you https://t.co/QoJL9GKkRU,0,0
"Time to kick up the feet and relax, we made it through another week. #Cheers to the #weekend! https://t.co/ns4BUahDbf",0,0
In case you are running out of ideas... Here are 5 things to do while you stay in this weekend. Have a great one! https://t.co/OpFfKsgyMr,0,0
